,Id,Filename,Species,Genus,Sub-Family,Family,Sub-Order,Order,Super-Order,Name,Common-Name,DTI resolution,SNR,Brain Orientation,GM,WM,log10(GM),log10(WM),log10(BrV),BR,TotFib,CC,AC,HC,Total Commisures,Com Ratio,Total MSP,HMSP (RA),HMSP (LB),AvHMSP,TNetDens,HNetDens,Strong NetDens (>20),Hcost,Tcost,n
10,10,Baboon4,Papio hamadryas (Baboon),Papio,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Baboon,Hemadryas baboon,0.933,89.68839699,RL,115.7,33.78,5.063333359,4.528659645,5.174583089,149.48,71394,8389,564,751,9704,13.59217861,132.0325423,54.58268001,50.54121942,52.56194971,0.3143,17.433,1.2,725666.95,782391.2,1.0
11,11,Baboon5,Papio Hamadryas,Papio,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Baboon,Hemadryas baboon,0.78,85.76060562,RL,97.84,57.99,4.990516444,4.763353109,5.192651071,155.83,144886,8293,1896,2346,12535,8.651629557,138.4667945,53.35987481,57.39890558,55.3793902,0.30908,16.927,1.21,663237.0,722210.7,1.0
12,12,BactrianDeer1,Cervus bactrianus,Cervus,Cervinae,Cervidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Bactrian Deer,Bactrian deer,0.82,47.37125014,RL,162.78,48.33,5.211601044,4.684216795,5.324508806,211.11,293719,25165,823,3403,29391,10.00650281,128.7073718,52.76265283,54.26695959,53.51480621,0.3291,18.0245,1.21,906823.25,960588.8,2.0
13,13,BactrianDeer2,Cervus bactrianus,Cervus,Cervinae,Cervidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Bactrian Deer,Bactrian deer,1.19,21.83501232,LR,181.17,51.02,5.258086284,4.707740454,5.365843512,232.19,45468,6731,1,214,6946,15.2766781,126.9855219,52.95509991,49.10839625,51.03174808,0.31474,16.874,1.25,674920.2,711187.7,2.0
14,14,Battongia1,Bettongia setosa,Bettongia,Potoroinae,Potoroidae,MacropodiformesPotoroidae,Marsupialia,No placenta,Battongia,"Rat Kangaroo(Rufous bettong)",0.32,28.92076696,RL,6.31,0.566,3.800029359,2.752816431,3.837335868,6.876,72548,0,7531,4614,12145,16.74064068,135.0173476,54.71284302,54.82755366,54.77019834,0.3872,23.0565,0.88,835956.55,956782.4,2.0
15,15,Battongia2,Bettongia setosa,Bettongia,Potoroinae,Potoroidae,MacropodiformesPotoroidae,Marsupialia,No placenta,Battongia,"Rat Kangaroo(Rufous bettong)",0.345,35.64939183,RL,6.7208,0.8702,3.827420972,2.939619079,3.880298991,7.591,94671,0,6469,7466,13935,14.71939665,136.2096794,58.24253644,56.00550736,57.1240219,0.3821,23.533,0.9,966787.3,1091496.4,2.0
16,16,BlanfordFox,Vulpes cana,Vulpes,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Blanford Fox,Blanford fox,0.45,28.76729271,RL,14.12,2.161,4.149834697,3.334654767,4.211681076,16.281,58214,4541,245,1791,6577,11.29796956,132.7119336,51.55579635,52.83055067,52.19317351,0.34541,19.018,1.15,727271.0,794927.4,1.0
17,17,BlindMole1,Spalax ehrenbergi,Spalax,Spalacinae,Spalacidae,Myomorpha,Rodentia,Euarchontoglires,Blind Mole,Blind mole rat,0.2,21.93842158,RL,1.254736,0.055208,3.098552359,1.742002014,3.11725273,1.309944,78581,4257,144,494,4895,6.229241165,115.0870092,48.56982815,44.81578992,46.69280904,0.28459,14.452,1.57,799086.3,978913.4,2.0
18,18,BlindMole2,Spalax ehrenbergi,Spalax,Spalacinae,Spalacidae,Myomorpha,Rodentia,Euarchontoglires,Blind Mole,Blind mole rat,0.225,38.8991088,RL,1.3737,0.088312,3.137891898,1.94601972,3.164950937,1.462012,73793,3683,309,662,4654,6.306831271,123.69243,48.29054119,47.65311738,47.97182928,0.30941,15.7035,1.44,793737.15,937831.6,2.0
19,19,BottleNoseDolphin,Tursiops truncatus,Tursiops,Delphinidae,Delphinidae,Odontoceti,Cetartiodactyla,Laurasiatheria,Bottle Nose Dolphin,Bottlenose dolphin,1.89,53.99942967,LR,1107.8,489.51,6.044461361,5.689761568,6.203389211,1597.31,127701,7692,328,3321,11341,8.880901481,135.1245645,53.47136116,55.01006404,54.2407126,0.30621,17.976,1.35,697903.35,722525.2,1.0
20,20,BrownLemur1,Brown Lemur,Eulemur,Eulemur,Lemuridae,Strepsirrhini,Primates,Euarchontoglires,Brown Lemur,"Common brownlemur",0.48,47.58627504,RL,17.32,1.14,4.238547888,3.056904851,4.266231697,18.46,84509,7589,254,2532,10375,12.27679892,126.6315001,51.3982276,53.46546096,52.43184428,0.35225,20.9875,1.09,827534.05,870622.6,3.0
21,21,BrownLemur2,Brown Lemur,Eulemur,Eulemur,Lemuridae,Strepsirrhini,Primates,Euarchontoglires,Brown Lemur,"Common brownlemur",0.45,23.15622223,RL,13.7839,2.3918,4.139372114,3.378724862,4.208863084,16.1757,57833,5095,127,1610,6832,11.81332457,138.2996887,57.45403224,53.40528115,55.42965669,0.36422,21.024,1.04,718150.15,757920.1,3.0
22,22,BrownLemur3,Brown Lemur,Eulemur,Eulemur,Lemuridae,Strepsirrhini,Primates,Euarchontoglires,Brown Lemur,"Common brownlemur",0.48,29.86174009,RL,16.4,4.61,4.214843848,3.663700925,4.322426052,21.01,99930,10231,819,2483,13533,13.54247974,131.687161,49.98392216,53.87448895,51.92920556,0.34317,19.261,1.31,840271.95,894471.1,3.0
