,Id,Filename,Species,Genus,Sub-Family,Family,Sub-Order,Order,Super-Order,Name,Common-Name,DTI resolution,SNR,Brain Orientation,GM,WM,log10(GM),log10(WM),log10(BrV),BR,TotFib,CC,AC,HC,Total Commisures,Com Ratio,Total MSP,HMSP (RA),HMSP (LB),AvHMSP,TNetDens,HNetDens,Strong NetDens (>20),Hcost,Tcost,n
67,67,Eonycteris1,Eonycteris spelaea,Eonycteris,Rousettinae,Pteropodidae,Megachiroptera,Chiroptera,Laurasiatheria,Eonycteris,Cave nectar bat,0.175,24.42390029,RL,0.66513,0.03627,2.822906537,1.559547556,2.845965762,0.7014,59003,1548,492,771,2811,4.764164534,112.7349041,46.04578414,43.98842165,45.01710289,0.23622,11.6505,1.59,681548.25,753298.8,2.0
68,68,Eonycteris2,Eonycteris spelaea,Eonycteris,Rousettinae,Pteropodidae,Megachiroptera,Chiroptera,Laurasiatheria,Eonycteris,Cave nectar bat,0.21,17.20132489,RL,0.74743,0.1733,2.873570525,2.238798563,2.964132294,0.92073,29969,655,456,1032,2143,7.150722413,114.2311525,46.81353432,45.61593422,46.21473427,0.26935,14.112,1.36,695598.7,722730.4,2.0
69,69,Eptesicus1,Eptesicus fuscus,Eptesicus,Vespertilioninae,Vespertilionidae,Microchiroptera,Chiroptera,Laurasiatheria,Eptesicus,Big brown bat,0.12,13.77431162,RL,0.12753,0.00552,2.10561236,0.741939078,2.124014879,0.13305,19315,337,530,565,1432,7.413927,122.5085613,43.48490839,50.0615888,46.7732486,0.28905,16.153,1.03,599874.55,656759.4,2.0
70,70,Eptesicus2,Eptesicus fuscus,Eptesicus,Vespertilioninae,Vespertilionidae,Microchiroptera,Chiroptera,Laurasiatheria,Eptesicus,Big brown bat,0.13,23.70183721,LR,0.1153,0.025255,2.061829307,1.402347373,2.147846299,0.140555,23442,310,1019,671,2000,8.531695248,111.064225,42.6087489,47.44937989,45.0290644,0.28285,14.5115,1.31,711239.3,816967.2,2.0
71,71,FallowDeer1,Dama Dama,Dama,Cervinae,Cervidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Fallow Deer,Fallow deer,1.0,195.2648321,RL,149.66,19.97,5.175105741,4.300378065,5.229502662,169.63,49224,5535,357,99,5991,12.17089225,115.8950403,44.88787252,50.18933177,47.53860215,0.28641,16.1405,1.28,753562.6,766996.7,3.0
72,72,FallowDeer2,Dama Dama,Dama,Cervinae,Cervidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Fallow Deer,Fallow deer,1.0,122.942909,RL,142.9,33.54,5.155032229,4.525563058,5.246597049,176.44,53324,2858,68,120,3046,5.712249644,115.5696535,43.6289851,49.59309766,46.61104138,0.29531,16.011,1.28,680101.75,723244.7,3.0
73,73,FallowDeer3,Dama Dama,Dama,Cervinae,Cervidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Fallow Deer,Fallow deer,1.0,85.6659536,RL,146.35,39.07,5.165392727,4.591843411,5.268156577,185.42,56497,4764,188,206,5158,9.129688302,121.3929049,47.92917024,50.63370354,49.28143689,0.28641,17.196,1.3,687039.75,692242.2,3.0
74,74,FennekFox,Vulpes zerda,Vulpes,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Fennek Fox,Fennec fox,0.46,42.39768551,RL,13.1,2.2156,4.117271296,3.345491356,4.185134015,15.3156,57934,4382,264,711,5357,9.246729036,139.3126741,56.9582219,52.06037711,54.50929951,0.34472,18.8205,1.18,693656.25,805086.9,1.0
75,75,Ferret1,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Caniformia,Carnivora,Laurasiatheria,Ferret,Ferret,0.29,42.02101677,RL,3.865,0.3139,3.587149498,2.496791316,3.621061979,4.1789,58449,3588,324,915,4827,8.258481753,133.7406834,55.74826564,52.5295678,54.13891672,0.34591,20.046,0.97,692460.7,724697.1,4.0
76,76,Ferret2,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Caniformia,Carnivora,Laurasiatheria,Ferret,Ferret,0.3,27.82658182,RL,3.807378,0.471879,3.580625996,2.67383065,3.63136837,4.279257,53154,4726,265,937,5928,11.15250028,132.670205,53.37099742,53.144616,53.25780671,0.35341,20.649,1.16,814415.35,837221.8,4.0
77,77,Ferret3,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Caniformia,Carnivora,Laurasiatheria,Ferret,Ferret,0.315,16.98222422,RL,3.8259,0.66587,3.582733614,2.823389449,3.65241751,4.49177,64583,3061,305,2854,6220,9.63101745,134.0678957,50.96725534,54.19586031,52.58155782,0.34814,19.2745,1.1,753223.95,849706.1,4.0
78,78,Ferret4,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Caniformia,Carnivora,Laurasiatheria,Ferret,Ferret,0.29,18.43018949,RL,4.449,0.577,3.648262406,2.761175813,3.701222484,5.026,65238,5662,562,1179,7403,11.3476808,143.3471628,57.44862917,56.83173628,57.14018273,0.35883,20.787,0.89,769396.9,787305.5,4.0
79,79,FruitBat1,Rousettus aegyptiacus,Rousettus,Pteropodinae,Pteropodidae,Megachiroptera,Chiroptera,Laurasiatheria,Fruit Bat,Egyptian fruit bat,0.22,16.90618718,RL,1.61429,0.29336,3.207981556,2.467400897,3.280498697,1.90765,68963,1817,1588,778,4183,6.065571393,120.3875287,49.12704398,45.3931958,47.26011989,0.29213,16.839,1.49,737874.1,758094.5,5.0
80,80,FruitBat2,Rousettus aegyptiacus,Rousettus,Pteropodinae,Pteropodidae,Megachiroptera,Chiroptera,Laurasiatheria,Fruit Bat,Egyptian fruit bat,0.22,66.75559112,RL,1.595283,0.145654,3.202837737,2.163322416,3.240783055,1.740937,115691,4676,1664,2086,8426,7.283194025,118.9115312,45.56333145,47.21987294,46.39160219,0.26352,14.309,1.69,757338.9,810950.6,5.0
81,81,FruitBat3,Rousettus aegyptiacus,Rousettus,Pteropodinae,Pteropodidae,Megachiroptera,Chiroptera,Laurasiatheria,Fruit Bat,Egyptian fruit bat,0.24,49.39958141,RL,1.44,0.0696,3.158362492,1.84260924,3.178861887,1.5096,48712,1984,2258,751,4993,10.25004106,120.9556596,51.27006057,48.1282664,49.69916349,0.29619,15.754,1.21,724637.4,824736.8,5.0
82,82,FruitBat4,Rousettus aegyptiacus,Rousettus,Pteropodinae,Pteropodidae,Megachiroptera,Chiroptera,Laurasiatheria,Fruit Bat,Egyptian fruit bat,0.215,54.42680745,RL,1.29,0.20604,3.11058971,2.313951541,3.174943206,1.49604,68517,2576,663,1396,4635,6.764744516,115.231759,43.82476538,46.39730957,45.11103747,0.24471,12.8795,1.46,727214.7,767370.3,5.0
83,83,FruitBat5,Rousettus aegyptiacus,Rousettus,Pteropodinae,Pteropodidae,Megachiroptera,Chiroptera,Laurasiatheria,Fruit Bat,Egyptian fruit bat,0.22,42.74831319,RL,1.303,0.12388,3.114944416,2.093001197,3.154387451,1.42688,56847,1373,565,1710,3648,6.417225183,113.8317111,43.07989995,46.79438478,44.93714237,0.2482,14.0845,1.67,738754.55,774318.1,5.0
84,84,Gerbil,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Myomorpha,Rodentia,Euarchontoglires,Gerbil,Gerbil,0.17,24.21905392,RL,0.75061,0.12374,2.875414346,2.092510112,2.941685314,0.87435,87654,2655,1058,269,3982,4.542861706,121.5025913,48.76418501,50.41926515,49.59172508,0.32679,18.2755,1.28,968062.0,1105461.3,1.0
85,85,Giraffe1,Giraffa camelopardalis,Giraffa,Giraffa,Giraffidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Giraffe,Reticulated giraffe,1.496,52.29464685,LR,466.61,127.88,5.668954042,5.106802628,5.774144554,594.49,62887,8498,1,284,8783,13.96632054,127.598147,51.45670574,49.6463096,50.55150767,0.30452,16.81,1.48,723060.3,776578.7,3.0
86,86,Giraffe2,Giraffa camelopardalis,Giraffa,Giraffa,Giraffidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Giraffe,Reticulated giraffe,1.5867,27.34154636,LR,420.91,189.9,5.624189244,5.278524965,5.785906139,610.81,44764,5344,1,150,5495,12.27548923,122.9229846,52.58658687,47.05299281,49.81978984,0.28118,16.271,1.27,669682.9,704948.0,3.0
87,87,Giraffe3,Giraffa camelopardalis,Giraffa,Giraffa,Giraffidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Giraffe,Reticulated giraffe,1.7868,38.7208507,LR,402.96,199.7,5.605261938,5.300378065,5.780072367,602.66,41834,4089,1,92,4182,9.99665344,125.5961683,49.50184361,48.38281469,48.94232915,0.29396,16.8405,1.21,645966.15,644313.8,3.0
88,88,Goat1,Capra aegagrus hircus,Capra,Caprinae,Bovidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Goat,Domestic goat,0.75,87.41895732,RL,75.12,6.92,4.875755579,3.840106094,4.914025652,82.04,50256,4007,45,861,4913,9.775947151,134.7460702,56.83501033,54.74735683,55.79118358,0.31602,18.6545,1.12,753397.45,770613.1,3.0
89,89,Goat2,Capra aegagrus hircus,Capra,Caprinae,Bovidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Goat,Domestic goat,0.8,91.64719874,RL,75.99,15.4,4.880756445,4.187520721,4.960898677,91.39,41614,3847,75,966,4888,11.746047,124.4541606,48.9171009,51.0190206,49.96806075,0.31294,18.097,1.21,711818.85,733967.5,3.0
90,90,Goat3,Capra aegagrus hircus,Capra,Caprinae,Bovidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Goat,Domestic goat,0.8,81.08215305,RL,79.09,13.85,4.898121576,4.141449773,4.968202668,92.94,42175,2563,77,209,2849,6.755186722,123.4564314,52.98172981,46.09517694,49.53845338,0.29818,16.7965,1.14,763129.25,776972.7,3.0
91,91,GoldenSpinyMouse,Acomys russatus,Acomys,Deomyinae,Muridae,Myomorpha,Rodentia,Euarchontoglires,Golden Spiny Mouse,"Golden spinymouse",0.165,37.27832065,RL,0.4431,0.059143,2.64650175,1.77190335,2.700913892,0.502243,49282,2087,187,779,3053,6.19495962,122.2771706,49.3680843,49.39672152,49.38240291,0.31678,17.4305,1.24,814547.7,917463.1,1.0
92,92,Gorilla,Gorilla gorilla,Gorilla,Homininae,Hominidae,Haplorrhini,Primates,Euarchontoglires,Gorilla,"Western lowlandgorilla",1.2983,48.21897912,LR,289.5,86.3,5.461648568,4.936010796,5.574956776,375.8,43090,7467,1,345,7813,18.13181713,141.6548445,59.07334969,53.45874924,56.26604947,0.34822,19.19,1.0,666584.1,686220.2,1.0
93,93,GrayKangaroo1,Macropus giganteus,Macropus,Macropodinae,Macropodidae,MacropodiformesPotoroidae,Marsupialia,No placenta,Gray Kangaroo,"Eastern greykangaroo",0.64,57.85878851,RL,39.88,12.065,4.60075515,4.081527326,4.715543751,51.945,87723,0,6729,1939,8668,9.881103017,133.8787223,57.38377385,53.59764743,55.49071064,0.37012,22.955,0.86,829108.65,880689.5,2.0
94,94,GrayKangaroo3,Macropus giganteus,Macropus,Macropodinae,Macropodidae,MacropodiformesPotoroidae,Marsupialia,No placenta,Gray Kangaroo,"Eastern greykangaroo",0.57,34.0121787,RL,25.56,7.501,4.407560849,3.875119165,4.519315986,33.061,65469,0,6601,3382,9983,15.24843819,134.8355969,58.00794539,55.54783066,56.77788802,0.37614,22.7875,0.95,807184.25,910762.3,2.0
95,95,GreenMonkey1,Green Monkey,Chlorocebus,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Green Monkey,"African greenmonkey (grivet)",0.666,52.07322527,RL,46.12,4.72,4.663889299,3.673941999,4.706205542,50.84,87765,5531,515,446,6492,7.397026149,125.0530552,50.53535636,48.01040453,49.27288044,0.30522,15.9775,1.35,772549.7,861781.3,2.0
96,96,GreenMonkey2,Green Monkey,Chlorocebus,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Green Monkey,"African greenmonkey (grivet)",0.72,58.84678746,RL,40.98,20.59,4.612571954,4.313656347,4.789369154,61.57,47390,5503,1,320,5824,12.28951256,128.5594299,49.88107592,51.11141598,50.49624595,0.3139,17.18,1.19,687560.45,719487.7,2.0
97,97,Hare,Lepus europaeus,Lepus,Leporinae,Leporidae,,Lagomorpha,Euarchontoglires,Hare,Hare,0.32,24.27577899,RL,6.1513,0.949,3.788966908,2.977266212,3.851276699,7.1003,80137,2982,604,4428,8014,10.00037436,130.0637604,55.54675566,49.53367494,52.5402153,0.34247,20.499,1.03,882341.2,955652.6,1.0
98,98,HimalianBear,Ursus arctos isabellinus,Ursus,Ursidae,Ursidae,Caniformia,Carnivora,Laurasiatheria,Himalian Bear,"Himalayan blackbear",1.26,42.49222377,LR,169.295,48.46,5.228644132,4.68538341,5.337968136,217.755,46547,3663,4,416,4083,8.771779062,124.2922477,53.77715379,49.35699276,51.56707328,0.29518,17.359,1.09,476199.05,526749.8,1.0
99,99,HippArmiger,Hipposideros armiger,Hipposideros,Hipposideridae,Hipposideridae,Microchiroptera,Chiroptera,Laurasiatheria,Hipp Armiger,Great roundleaf bat,0.16,27.45549958,RL,0.40959,0.01901,2.612349345,1.278982117,2.632052167,0.4286,38882,1094,420,1622,3136,8.065428733,113.70149,44.26362801,48.34804693,46.30583747,0.28579,15.1295,1.28,776725.45,870479.5,1.0
100,100,HoneyBadger,Mellivora capensis,Mellivora,Mellivorinae,Mustelidae,Caniformia,Carnivora,Laurasiatheria,Honey Badger,Honey badger,0.65,68.59195201,RL,45.31,7.45,4.656194062,3.872156273,4.722304787,52.76,53746,3708,210,480,4398,8.182934544,127.5390049,51.70248157,49.82232225,50.76240191,0.31097,17.769,1.22,755697.4,775078.0,1.0
101,101,Horse1,Equus ferus caballus,Equus,Equinae,Equidae,Hippomorpha,Perissodactyla,Laurasiatheria,Horse,Horse,1.5,41.3837265,LR,527.9,95.89,5.722551662,4.981773319,5.795038408,623.79,91565,12271,1,238,12510,13.6624256,134.0073143,51.39960877,53.39061812,52.39511345,0.33742,18.5635,1.12,791932.2,815398.3,2.0
102,102,Horse2,Equus ferus caballus,Equus,Equinae,Equidae,Hippomorpha,Perissodactyla,Laurasiatheria,Horse,Horse,1.5,25.86261671,LR,434.86,45.0,5.638349462,4.653212514,5.68111455,479.86,58646,7046,1,694,7741,13.1995362,130.0077557,51.33495464,51.684754,51.50985432,0.33127,19.2075,1.2,687765.9,695277.5,2.0
103,103,HowlerMonkey1,,Aloutta,Alouattinae,Atelidae,Haplorrini,Primates,Euarchontoglires,Howler Monkey,"Black and goldhowler",0.62,74.57289996,RL,43.94,18.53,4.642860053,4.267875419,4.795671506,62.47,144656,14603,372,393,15368,10.6238248,133.3775017,56.20582944,54.37069445,55.28826195,0.32579,19.1055,1.12,816470.65,849738.7,
104,104,HowlerMonkey2,,Aloutta,Alouattinae,Atelidae,Haplorrini,Primates,Euarchontoglires,Howler Monkey,"Black and goldhowler",0.56,55.98168859,RL,36.42,17.95,4.561339941,4.254064453,4.735359333,54.37,206078,20968,227,2053,23248,11.28116538,139.5050899,54.83021008,54.66868543,54.74944776,0.33736,18.228,1.21,897794.05,953347.6,
105,105,Hyaena1,Hyaena hyaena,Hyaena,Hyaeninae,Hyaenidae,Feliformia,Carnivora,Laurasiatheria,Hyaena,Stripped Hyaena,0.83,86.22311737,RL,101.97,16.7,5.008472419,4.222716471,5.074340942,118.67,77732,8108,474,386,8968,11.53707611,135.2954485,51.83326038,56.63788096,54.23557067,0.33421,19.5925,1.13,781394.9,821555.2,2.0
106,106,Hyaena2,Hyaena hyaena,Hyaena,Hyaeninae,Hyaenidae,Feliformia,Carnivora,Laurasiatheria,Hyaena,Stripped Hyaena,0.73,75.74159654,RL,59.85,10.73,4.777064155,4.030599722,4.848681654,70.58,55365,4385,429,902,5716,10.32421205,131.2257341,53.53744678,51.50673517,52.52209098,0.31752,18.2075,1.19,741200.7,778206.9,2.0
107,107,Hyrax1,Procavia capensis,Procavia,,Procaviidae,,Hyracoidea,Afrotheria,Hyrax,Rock hyrax,0.4,27.89860351,RL,11.31,3.053,4.053462605,3.484726804,4.15724516,14.363,102982,9240,695,3187,13122,12.74203259,129.9091864,51.24010503,53.88250794,52.56130648,0.3462,19.111,1.22,874983.95,993951.5,2.0
108,108,Hyrax2,Procavia capensis,Procavia,,Procaviidae,,Hyracoidea,Afrotheria,Hyrax,Rock hyrax,0.32,18.20442772,RL,10.85,2.85,4.035429738,3.45484486,4.136720567,13.7,157647,16197,328,1141,17666,11.20604896,130.7908263,52.19623436,52.3536737,52.27495403,0.34426,19.2325,1.12,807406.9,876640.9,2.0
109,109,IndHogDeer,Hyelaphus porcinus,Hyelaphus,Cervinae,Cervidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Ind Hog Deer,Indian hog deer,0.386,17.49346993,RL,8.277,2.17,3.917872955,3.336459734,4.018991595,10.447,81289,2901,803,2776,6480,7.971558267,120.4869461,50.49969646,50.55718812,50.52844229,0.3674,21.5515,0.95,819690.9,887055.9,1.0
110,110,JungleCat,Felis chaus,Felis,Felinae,Felidae,Feliformia,Carnivora,Laurasiatheria,Jungle Cat,Jungle cat,0.64,83.33488326,RL,38.44,6.77,4.584783379,3.830588669,4.655234507,45.21,36222,3827,347,1245,5419,14.96052123,125.0220415,51.27393864,48.72441448,49.99917656,0.31572,19.0205,1.15,693217.75,703688.7,1.0
111,111,Koala,Phascolarctos cinereus,Phascolarctos,,Phascolarctidae,,Marsupialia,No placenta,Koala,Koala,0.48,60.97899567,RL,13.32,2.84,4.124504225,3.45331834,4.208441356,16.16,54111,0,4925,1013,5938,10.97373917,116.6631742,47.93921376,48.5822126,48.26071318,0.28513,15.302,1.35,872700.35,978013.7,1.0
112,112,Lama1,Lama glama,Lama,,Camelidae,Tylopoda,Cetartiodactyla,Laurasiatheria,Lama,Llama,0.82,35.49254296,RL,153.52,55.1578,5.186164962,4.741606936,5.319476249,208.6778,248379,18021,520,2719,21260,8.559499797,134.0625136,52.90491649,52.71865623,52.81178636,0.32227,18.1835,1.23,821229.7,865410.2,2.0
113,113,Lama2,Lama glama,Lama,,Camelidae,Tylopoda,Cetartiodactyla,Laurasiatheria,Lama,Llama,0.8,65.21251711,RL,163.69,41.86,5.214022149,4.621799224,5.312917481,205.55,273079,26456,300,7576,34332,12.57218607,139.1494788,55.98632922,55.46683402,55.72658162,0.35063,19.242,1.16,858948.35,915372.3,2.0
114,114,LemurCatta1,Lemur Catta,Lemur,Lemur,Lemuridae,Strepsirrhini,Primates,Euarchontoglires,Lemur Catta,Ring tailed lemur,0.49,31.44330952,RL,18.88,2.9495,4.27600199,3.469748401,4.339043788,21.8295,92843,10003,432,1560,11995,12.91966007,141.4975568,55.56566003,57.08714616,56.3264031,0.35897,20.8435,1.03,774074.25,831121.4,2.0
115,115,LemurCatta2,Lemur Catta,Lemur,Lemur,Lemuridae,Strepsirrhini,Primates,Euarchontoglires,Lemur Catta,Ring tailed lemur,0.48,19.42701384,RL,20.19,2.099,4.305136319,3.322012439,4.348090584,22.289,116854,9404,205,812,10421,8.917966009,130.9965323,51.73250885,52.44077343,52.08664114,0.31788,18.426,1.21,930947.35,956479.8,2.0
116,116,Leopard1,Panthera pardus,Panthera,Pantherinae,Felidae,Feliformia,Carnivora,Laurasiatheria,Leopard,Persian leopard,0.93,80.99409919,RL,112.67,25.75,5.051808294,4.410777233,5.141198845,138.42,34280,4510,113,294,4917,14.34364061,122.8410847,50.5018189,49.36687097,49.93434494,0.30315,17.8335,1.02,696028.65,718892.3,2.0
117,117,Leopard2,Panthera pardus,Panthera,Pantherinae,Felidae,Feliformia,Carnivora,Laurasiatheria,Leopard,Persian leopard,0.73,68.39692008,RL,91.83,28.17,4.962984584,4.449786847,5.079181246,120.0,147762,14132,786,2676,17594,11.90698556,135.8933916,51.60779425,54.93640189,53.27209807,0.35276,19.7715,1.14,834132.75,891738.0,2.0
118,118,Lycaon1,Lycaon pictus,Lycaon,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Lycaon,Lycaon,0.8,58.92215009,RL,85.68,21.59,4.932879458,4.334252642,5.030478281,107.27,68119,6567,51,801,7419,10.89123446,131.463903,52.98782886,52.67048005,52.82915446,0.33473,18.89,1.15,739152.3,786063.7,3.0
119,119,Lycaon2,Lycaon pictus,Lycaon,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Lycaon,Lycaon,0.833,75.56040533,RL,102.4,22.56,5.010299957,4.353339095,5.096771017,124.96,73284,8878,67,1815,10760,14.68260466,131.3534433,53.45631702,54.8251253,54.14072116,0.34327,20.17,1.01,783593.8,836029.9,3.0
120,120,Lycaon3,Lycaon pictus,Lycaon,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Lycaon,Lycaon,0.89,107.5487065,RL,107.72,9.9,5.032296345,3.995635195,5.070481175,117.62,56571,6280,1,1048,7329,12.95540118,123.1781777,48.74828621,52.78013939,50.7642128,0.31615,18.815,1.12,761061.5,774844.4,3.0
121,121,Macaque1,Crab-Eating Macaque,Macaca,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Macaque,"Crab eatingmacaque",0.68,36.9617487,RL,80.6269,6.07,4.906479962,3.783188691,4.938003569,86.6969,107936,11901,652,556,13109,12.14516009,137.2234841,56.30358027,56.01612585,56.15985306,0.36485,22.122,0.9,763235.2,816628.7,8.0
122,122,Macaque10,Crab-Eating Macaque,Macaca,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Macaque,"Crab eatingmacaque",0.7,74.72983098,RL,54.22,12.53,4.734159513,4.097951071,4.82445127,66.75,71814,10994,748,783,12525,17.44088896,140.1399028,53.16240636,57.07800867,55.12020751,0.38037,20.789,1.02,730358.1,806417.5,8.0
123,123,Macaque2,Crab-Eating Macaque,Macaca,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Macaque,"Crab eatingmacaque",0.65,55.48515581,RL,48.21,9.42,4.683137131,3.974050903,4.76064862,57.63,78747,9512,609,670,10791,13.70337918,145.1660564,61.52273677,58.61405278,60.06839477,0.38859,22.803,0.79,810800.95,879692.0,8.0
124,124,Macaque3,Crab-Eating Macaque,Macaca,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Macaque,"Crab eatingmacaque",0.64,45.26246422,RL,49.77,5.29,4.696967641,3.723455672,4.740836207,55.06,100429,9703,220,299,10222,10.17833494,126.3005499,54.55,52.45,53.5,0.30131,16.0285,1.38,753729.4,799634.4,8.0
125,125,Macaque4,Crab-Eating Macaque,Macaca,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Macaque,"Crab eatingmacaque",0.65,47.95814193,RL,45.65,8.63,4.659440782,3.936010796,4.734639839,54.28,79233,7030,375,1281,8686,10.96260397,137.7938288,55.90463831,54.7479907,55.32631451,0.36936,21.3705,0.92,730068.55,781651.7,8.0
126,126,Macaque5,Crab-Eating Macaque,Macaca,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Macaque,"Crab eatingmacaque",0.72,29.61739523,RL,54.12,14.51,4.733357788,4.161667412,4.836513999,68.63,80275,10691,1322,315,12328,15.35720959,142.1061189,60.69190331,56.90046411,58.79618371,0.38027,22.4905,0.95,753466.05,810029.3,8.0
127,127,Macaque7,Crab-Eating Macaque,Macaca,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Macaque,"Crab eatingmacaque",0.68,47.88646873,RL,57.02,9.3,4.756027213,3.968482949,4.821644518,66.32,64569,6197,1330,1539,9066,14.04079357,143.2223114,57.90524365,59.83234562,58.86879464,0.39096,22.988,0.75,779431.2,859366.5,8.0
128,128,Macaque9,Crab-Eating Macaque,Macaca,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Macaque,"Crab eatingmacaque",0.66,46.82633875,RL,55.94,10.39,4.747722462,4.016615548,4.821709997,66.33,84337,8062,442,795,9299,11.02600282,141.2381795,57.30708512,59.13214843,58.21961677,0.37317,22.0635,0.99,735076.45,798123.2,8.0
129,129,MacaqueBlack,Black Macaque,Macaca,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Macaque Black,"Crested blackmacaque",0.73,52.54807045,RL,66.72,15.66,4.824256038,4.194791758,4.915821788,82.38,88192,14840,458,599,15897,18.02544448,136.9847566,60.10020919,54.33256194,57.21638556,0.34424,19.7295,0.98,715080.15,790201.1,1.0
130,130,MacaqueLionTail,Macaca Silenus,Macaca,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Macaque Lion Tail,Lion-tailed macaque,0.56,52.0657434,RL,57.21,4.27,4.757471948,3.630427875,4.788733859,61.48,280709,10250,329,1036,11615,4.137736945,119.7717887,52.39749172,44.92841187,48.6629518,0.27889,16.0195,1.51,964892.9,1016426.8,1.0
131,131,MacaquePT,Pig Tailed Macaque,Macaca,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Macaque P T,Pig-tailed macaque,0.69,52.79345422,RL,63.05,20.53,4.799685091,4.312388949,4.922102367,83.58,96902,18803,993,2018,21814,22.51140327,141.2918072,57.19634626,57.73889883,57.46762254,0.36886,20.8895,1.04,773770.25,874217.6,1.0
132,132,Mandrill1,Mandrill,Mandrillus,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Mandrill,Mandrill,0.84,80.19912404,RL,94.75,14.69,4.976579219,4.167021796,5.039176084,109.44,57563,6262,653,480,7395,12.84679395,120.5948324,47.48327389,49.60238375,48.54282882,0.30807,17.151,1.21,713805.75,765695.8,2.0
133,133,Mandrill2,Mandrill,Mandrillus,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Mandrill,Mandrill,0.88,74.76513894,RL,117.0,21.0,5.068185862,4.322219295,5.139879086,138.0,70192,8341,533,779,9653,13.75227946,124.5259239,50.67877557,51.36258046,51.02067802,0.30663,18.079,1.34,723467.6,757454.5,2.0
134,134,Mangebi,Mangabey,Cercocebus,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Mangebi,Grey-cheeked mangabey,0.78,63.08140313,RL,102.61,26.12,5.011189688,4.416973173,5.109679769,128.73,96709,12986,971,1186,15143,15.65831515,139.5617475,58.31213701,58.56273837,58.43743769,0.37003,22.046,0.89,743984.75,822730.7,1.0
135,135,Mara,D. Salinociola,Dolichotis,Dolichotinae,Caviidae,Hystricomorpha,Rodentia,Euarchontoglires,Mara,Patagonian Mara,0.52,39.73969492,RL,20.36,2.7548,4.308777774,3.440090074,4.36389014,23.1148,51544,3318,63,981,4362,8.462672668,133.9909227,52.05484938,53.38415746,52.71950342,0.31562,18.781,1.21,651286.8,677558.5,1.0
136,136,Marmoset,Cebuella pygmaea (Pygmy marmoset),Cebuella,Cebuella,Callitrichidae,Haplorrhini,Primates,Euarchontoglires,Marmoset,Pygmy marmoset,0.26,26.51662221,RL,3.44,0.44,3.536558443,2.643452676,3.588831726,3.88,130513,12971,524,1307,14802,11.34139894,143.0706283,56.27896088,55.34729238,55.81312663,0.38834,21.534,1.12,965670.7,1118471.3,1.0
137,137,Meerkat1,Suricata suricata,Suricata,Mungotinae,Herpestidae,Feliformia,Carnivora,Laurasiatheria,Meerkat,Meerkat,0.39,41.27332272,RL,8.574,0.92188,3.933183479,2.964674393,3.977535218,9.49588,95475,9851,246,1433,11530,12.07645981,122.0836608,48.1906398,50.73754877,49.46409428,0.36098,20.487,1.2,845713.45,892173.1,5.0
