,Unnamed: 0,num_simplices,max_order_simplex,index_study,Nmax_clique,argmax
85,0,"[200, 3157, 12686, 20799, 18026, 9336, 2987, 557, 55, 2]",10,85,20799,3
86,0,"[200, 2616, 7234, 6960, 3157, 681, 57, 3]",8,86,7234,2
87,0,"[200, 2853, 13007, 29550, 39983, 34942, 20171, 7523, 1682, 184, 4]",11,87,39983,4
88,0,"[200, 2485, 7154, 8431, 5278, 2009, 496, 73, 5]",9,88,8431,3
89,0,"[200, 2442, 6355, 5688, 2169, 424, 41, 2]",8,89,6355,2
90,0,"[200, 2004, 5526, 6579, 3944, 1292, 238, 26, 2]",9,90,6579,3
91,0,"[200, 1935, 3466, 1905, 430, 40]",6,91,3466,2
92,0,"[200, 1717, 1906, 426, 20]",5,92,1906,2
93,0,"[200, 2056, 4849, 4491, 2081, 507, 62, 3]",8,93,4849,2
94,0,"[200, 2847, 10120, 14108, 9578, 3328, 549, 32]",8,94,14108,3
95,0,"[200, 2695, 7660, 7476, 3100, 583, 49, 1]",8,95,7660,2
96,0,"[200, 2051, 4122, 3281, 1487, 427, 79, 12, 1]",9,96,4122,2
97,0,"[200, 2164, 5324, 6054, 4385, 2154, 665, 117, 9]",9,97,6054,3
98,0,"[200, 2392, 5813, 4899, 1759, 280, 21]",7,98,5813,2
99,0,"[200, 1606, 1903, 574, 91, 5]",6,99,1903,2
100,0,"[200, 2952, 10640, 14988, 10475, 4025, 832, 79, 3]",9,100,14988,3
101,0,"[199, 2570, 6183, 4929, 1780, 338, 46, 5]",8,101,6183,2
102,0,"[200, 2164, 5294, 4896, 2264, 582, 70, 2]",8,102,5294,2
103,0,"[200, 1312, 1368, 469, 69, 3]",6,103,1368,2
104,0,"[200, 2384, 6093, 4993, 1545, 176, 5]",7,104,6093,2
105,0,"[200, 2317, 5493, 5364, 2869, 932, 188, 18]",8,105,5493,2
106,0,"[200, 2105, 4857, 4372, 1864, 388, 46, 2]",8,106,4857,2
107,0,"[200, 2032, 5775, 7715, 5833, 2782, 863, 153, 10]",9,107,7715,3
108,0,"[200, 4196, 27456, 79530, 120780, 107340, 60205, 22773, 6179, 1188, 141, 7]",12,108,120780,4
109,0,"[200, 3598, 21036, 61054, 104272, 113881, 84536, 44940, 17539, 4877, 882, 87, 3]",13,109,113881,5
110,0,"[200, 4001, 27627, 96220, 200453, 272903, 254549, 166696, 77144, 24815, 5271, 657, 35]",13,110,272903,5
111,0,"[200, 2462, 8404, 13011, 11133, 5762, 1840, 359, 36]",9,111,13011,3
112,0,"[200, 2381, 6258, 5974, 2492, 497, 59, 3]",8,112,6258,2
113,0,"[200, 3886, 20307, 42002, 43044, 25040, 8844, 1840, 193, 7]",10,113,43044,4
114,0,"[200, 2995, 12056, 19831, 15967, 6546, 1298, 106, 3]",9,114,19831,3
115,0,"[200, 2806, 8785, 9749, 5123, 1634, 378, 49]",8,115,9749,3
116,0,"[200, 4438, 35657, 149622, 385749, 665888, 810217, 717734, 472987, 235269, 88819, 25120, 5080, 660, 42]",15,116,810217,6
117,0,"[200, 4038, 28874, 102771, 210782, 272009, 232980, 136999, 56551, 16638, 3467, 474, 32]",13,117,272009,5
118,0,"[200, 4352, 25889, 63177, 78831, 58603, 28887, 10162, 2644, 506, 65, 4]",12,118,78831,4
119,0,"[200, 4740, 35942, 124561, 235120, 266469, 189885, 85197, 22971, 3299, 186]",11,119,266469,5
120,0,"[200, 4139, 30458, 116468, 276626, 445944, 509150, 418728, 248176, 104387, 30029, 5498, 553, 21]",14,120,509150,6
121,0,"[200, 4080, 26435, 78915, 130877, 136750, 97929, 49628, 17337, 3899, 529, 44, 2]",13,121,136750,5
122,0,"[200, 2795, 10442, 17197, 15648, 8557, 2856, 579, 71, 5]",10,122,17197,3
123,0,"[200, 3573, 17627, 35226, 34230, 17606, 4962, 784, 71, 3]",10,123,35226,3
124,0,"[200, 3565, 18048, 40501, 51176, 41164, 21886, 7582, 1618, 189, 9]",11,124,51176,4
125,0,"[200, 4104, 27925, 92680, 186685, 263002, 283683, 244313, 168232, 90820, 37481, 11530, 2579, 405, 41, 2]",16,125,283683,6
126,0,"[200, 4469, 30443, 92043, 150129, 146592, 90719, 36742, 9712, 1569, 132, 3]",12,126,150129,4
127,0,"[200, 3213, 14773, 31950, 41304, 34992, 19906, 7607, 1904, 288, 21]",11,127,41304,4
128,0,"[200, 3290, 17199, 43408, 65870, 68814, 52784, 29998, 12360, 3541, 654, 66, 2]",13,128,68814,5
129,0,"[200, 3156, 13600, 24962, 24500, 14451, 5346, 1234, 168, 11]",10,129,24962,3
130,0,"[200, 3261, 14176, 25718, 24081, 12866, 3897, 584, 29]",9,130,25718,3
131,0,"[200, 4199, 29269, 100293, 206344, 286709, 287699, 214404, 119005, 48800, 14531, 3022, 400, 26]",14,131,287699,6
132,0,"[200, 2809, 12841, 28165, 36121, 30759, 18484, 7875, 2303, 442, 54, 4]",12,132,36121,4
133,0,"[200, 2587, 9588, 15682, 13603, 6923, 2208, 456, 58, 3]",10,133,15682,3
134,0,"[200, 3252, 13387, 21854, 17549, 7643, 1799, 187, 1]",9,134,21854,3
135,0,"[200, 3166, 12809, 21461, 19552, 11326, 4504, 1218, 198, 13]",10,135,21461,3
136,0,"[200, 2763, 9090, 11957, 7907, 2822, 534, 38]",8,136,11957,3
137,0,"[200, 2930, 10701, 15932, 12581, 6176, 2033, 465, 65, 4]",10,137,15932,3
138,0,"[200, 3280, 19625, 61170, 115961, 145415, 126019, 76709, 32674, 9514, 1791, 191, 8]",13,138,145415,5
139,0,"[200, 3835, 22519, 61695, 99155, 106862, 82700, 47058, 19709, 6077, 1411, 253, 32, 2]",14,139,106862,5
140,0,"[200, 3441, 15804, 29367, 27406, 14393, 4448, 800, 75, 2]",10,140,29367,3
141,0,"[200, 3941, 26359, 85151, 153310, 164399, 107756, 42964, 9992, 1198, 51]",11,141,164399,5
142,0,"[200, 3573, 20230, 54385, 85646, 89501, 66744, 36647, 14760, 4206, 785, 82, 3]",13,142,89501,5
143,0,"[200, 3602, 21619, 67028, 132574, 185650, 191954, 147004, 81468, 31266, 7727, 1075, 61]",13,143,191954,6
144,0,"[200, 3958, 25276, 75492, 125432, 128107, 85717, 39062, 12319, 2651, 363, 27, 1]",13,144,128107,5
145,0,"[200, 3313, 13046, 20286, 16430, 8165, 2619, 504, 48, 1]",10,145,20286,3
146,0,"[200, 3848, 24438, 78029, 150437, 190710, 164895, 98118, 39678, 10526, 1713, 150, 5]",13,146,190710,5
147,0,"[200, 3103, 12282, 19368, 15492, 7194, 2063, 370, 40, 2]",10,147,19368,3
148,0,"[200, 3148, 16324, 41527, 60038, 53039, 30848, 13078, 4341, 1078, 170, 12]",12,148,60038,4
149,0,"[200, 2792, 9719, 12902, 7822, 2410, 407, 43, 1]",9,149,12902,3
150,0,"[200, 3568, 22850, 75408, 151036, 200631, 185286, 120938, 55346, 17317, 3584, 480, 42, 2]",14,150,200631,5
