,num_simplices,max_order_simplex,index_study
0,"[    200    4742   42729  203567  606882 1255095 1911035 2201679 1929550
 1274762  622106  217162   51648    7763     652      24]",16,157
0,"[   200   4797  40153 165199 391837 580025 556048 349200 142755  37141
   5871    516     25      1]",14,158
0,"[    200    4988   43410  190516  507168  906528 1146087 1047137  693638
  330118  110844   25699    4099     472      40       2]",16,159
0,"[   200   4828  39972 160831 368694 524676 486313 300588 124568  34330
   6166    687     38]",13,160
0,"[   200   4753  39253 161155 392466 628634 704522 570904 337661 143998
  42715   8213    889     38]",14,161
0,"[   200   4300  30135 104730 224091 332119 361050 295286 184070  88149
  32368   8913   1744    217     13]",15,162
0,"[    200    5026   44722  206419  593660 1167477 1645830 1707965 1327319
  779132  344625  113184   26820    4360     440      21]",16,163
0,[  200  3380 14692 24634 19855  9015  2596   529    79     6],10,164
0,[  200  3550 16985 34697 38498 26537 12319  4048   953   148    12],11,165
0,"[   200   5048  43034 180237 448069 738635 865455 753464 501448 259422
 104850  32784   7694   1272    130      6]",16,166
0,"[     200     6422    82600   572792  2453549  7022412 14157095 20889498
 23236151 19955552 13499340  7309903  3201245  1134332   320562    69751
    10944     1095       52]",19,167
0,[  200  3597 18895 43734 54859 41893 20438  6192  1034    71],10,168
0,[  200  3652 18198 38193 43168 30664 14985  5167  1243   199    17],11,169
0,"[   200   5155  45507 195392 490028 797571 896971 725303 434939 199848
  73172  22129   5560   1100    149     10]",16,170
0,"[    200    5944   70558  436298 1592959 3702002 5748953 6159132 4642596
 2483422  939720  247434   44022    5114     378      16]",16,171
0,"[    200    5683   55363  250277  623336  971265 1050357  850543  533231
  256128   90790   22579    3695     364      18]",15,172
0,"[    200    5193   48552  227214  631974 1158546 1491947 1399492  973949
  507606  198879   58241   12403    1785     146       4]",16,173
0,"[   200   5664  52712 221917 507601 711930 662514 430621 202442  70396
  18124   3299    376     20]",14,174
0,[  200  3518 19368 49946 71161 60372 31362  9929  1898   230    19     1],12,175
0,"[   200   4500  33778 121837 256173 354395 345186 242440 121951  42746
   9957   1412     98      1]",14,176
0,"[   200   5362  48125 202598 477597 704119 699708 494914 259757 104164
  32138   7384   1162    107      4]",15,177
0,"[   200   4613  33431 115035 232284 307527 283267 186866  88708  29820
   6848   1012     86      3]",14,178
0,[  200  3702 21693 58488 84017 70620 36945 12355  2571   304    18],11,179
0,"[   200   4116  28596  96812 192907 253907 237378 164653  86358  34223
  10150   2238    362     39      2]",15,180
0,[  200  4049 22889 55580 72910 58050 29586  9786  2051   261    17],11,181
0,"[   200   4851  37227 141668 330074 525130 609584 538362 368381 194072
  76535  21524   3997    427     19]",15,182
0,"[    200    5162   48332  238905  742488 1574018 2377350 2624382 2142163
 1292250  570179  180569   39782    5743     476      16]",16,183
0,[  200  3945 19808 37054 32129 14887  4088   719    85     6],10,184
