,num_simplices,max_order_simplex,index_study
0,"[   200   5575  48303 189268 409276 548679 493035 314975 150003  55228
  16074   3718    668     83      5]",15,125
0,"[   200   5620  46267 163366 306583 349198 263582 140447  55490  16890
   4044    745     94      6]",14,126
0,"[   200   5736  50486 197574 419079 542996 463734 273396 113225  32198
   5809    554     16]",13,127
0,"[   200   5728  49153 179513 341191 384083 279624 139043  48258  11535
   1786    153      5]",13,128
0,"[   200   5639  51075 214789 507599 750585 740105 504358 241815  81803
  19207   3001    282     12]",14,129
0,"[   200   5545  46676 173963 345383 401932 290255 134740  40703   7812
    879     46]",12,130
0,"[    200    5708   56385  276881  807388 1543608 2055959 1984628 1421877
  762985  304988   88823   17971    2296     149       2]",16,131
0,"[   200   5348  41178 134873 236376 254379 182189  90657  31953   8078
   1467    178     11]",13,132
0,"[    200    5793   55956  265346  745013 1368789 1745757 1601062 1076727
  535489  196982   53198   10348    1387     114       4]",16,133
0,"[   200   5768  51854 205313 431095 535730 422377 220796  78689  19462
   3319    366     20]",13,134
0,"[   200   5603  47634 178033 358019 435198 343671 184857  69912  18798
   3518    435     35      2]",14,135
0,"[   200   5763  52655 222890 536861 820598 841581 595691 294562 101687
  24127   3782    357     16]",14,136
0,"[    200    5633   54094  261104  757513 1448446 1920407 1814337 1234496
  602858  207662   48691    7255     599      20]",15,137
0,"[   200   5527  49984 216504 541679 871805 962966 756234 427485 172609
  48376   8882    952     45]",14,138
0,"[    200    5814   56374  260035  685169 1147148 1301175 1037458  592552
  244638   73661   16422    2717     309      18]",15,139
0,"[   200   5579  49047 197258 434050 576880 490962 275498 102017  24242
   3475    268      9]",13,140
0,"[   200   5499  47883 194495 456993 711380 791943 648561 389320 167133
  49064   9149    948     40]",14,141
0,"[   200   5723  49885 190359 387088 472742 372612 195960  68393  15049
   1852     97]",12,142
0,"[   200   5344  43501 162911 353324 506199 516055 388057 217170  89275
  26032   5044    572     28]",14,143
0,"[   200   5678  46723 161870 295624 326721 237211 117896  40404   9402
   1427    125      4]",13,144
0,"[    200    5802   54476  238622  591549  930531 1001196  774298  441745
  186100   56628   11925    1628     133       6]",15,145
0,"[    200    5751   55909  259718  688988 1168028 1362818 1145151  708482
  323874  108090   25505    3967     347      11]",15,146
0,"[   200   5640  49182 197938 459161 693099 724450 537891 283346 103262
  24689   3520    249      5]",14,147
0,"[    200    5925   59016  280373  764595 1330770 1575345 1317557  796197
  353582  117886   30340    6137     954     104       6]",16,148
0,"[    200    5599   52632  245744  689168 1278013 1649862 1526000 1026981
  505773  181890   47349    8774    1129      98       5]",16,149
